,who,lang,text
ParlaMint-NO_2006-07_070320-2.ud46e166,KES,nob,"['Under debatten er det satt fram 14 forslag. Det er', 'forslagene nr. 1–6, fra Kari Kjønaas Kjos på vegne av Fremskrittspartiet, Høyre, Kristelig Folkeparti og Venstreforslag nr. 7, fra Kari Kjønaas Kjos på vegne av Fremskrittspartiet og Høyreforslagene nr. 8–12, fra Kari Kjønaas Kjos på vegne av Fremskrittspartietforslag nr. 13, fra Åse Gunhild Woie Duesund på vegne av Kristelig Folkeparti, ogforslag nr. 14, fra André N. Skjelstad på vegne av Venstre', 'Det voteres over forslag nr. 14, fra Venstre. Forslaget lyder:', '«Stortinget ber Regjeringen iverksette en prøveordning i regi av den nye Arbeids- og velferdsetaten som gir langtidsmottakere av sosialhjelp rett til en borgerlønn på 2,5 G. I første omgang bør prøveprosjektet utføres i 10 ulike kommuner innenfor en ramme på 60 mill. kroner i året.»']"
ParlaMint-NO_2006-07_070320-2.ud46e199,KES,nob,"['Det voteres over forslag nr. 13, fra Kristelig Folkeparti. Forslaget lyder:']"
ParlaMint-NO_2006-07_070320-2.ud46e214,KES,nob,"['Det voteres over forslagene nr. 8–12, fra Fremskrittspartiet.']"
ParlaMint-NO_2006-07_070320-2.ud46e256,KES,nob,"['Det voteres over forslag nr. 7, fra Fremskrittspartiet og Høyre. Forslaget lyder:']"
ParlaMint-NO_2006-07_070320-2.ud46e271,KES,nob,"['Det voteres over forslagene nr. 1–6, fra Fremskrittspartiet, Høyre, Kristelig Folkeparti og Venstre.']"
ParlaMint-NO_2006-07_070320-2.ud46e333,KES,nob,"['Under debatten har Kari Kjønaas Kjos satt fram et forslag på vegne av Fremskrittspartiet, Høyre, Kristelig Folkeparti og Venstre. Forslaget lyder:']"
ParlaMint-NO_2006-07_070320-2.ud46e355,KES,nob,"['Under behandlingen av sak nr. 3 er det gjort vedtak, og presidenten viser til dette.']"
ParlaMint-NO_2006-07_070320-2.ud46e362,KES,nob,"['Under debatten har Lodve Solholm satt fram et forslag på vegne av Fremskrittspartiet. Forslaget lyder:', '«Stortinget ber Regjeringen, i tilknytning til forslaget til Revidert nasjonalbudsjett for 2007, legge frem forslag til endringer i kravet om tre års botid før trygderettigheter igjen inntreffer etter opphold i utlandet, i tråd med intensjonene i vedtak nr. 346, 11. mai 2006.»']"
ParlaMint-NO_2006-07_070320-2.ud46e391,KES,nob,"['Under debatten er det satt fram sju forslag. Det er', 'forslag nr. 1, fra Øyvind Halleraker på vegne Fremskrittspartiet, Høyre og Venstreforslag nr. 2, fra Øyvind Halleraker på vegne av Fremskrittspartiet og Høyreforslag nr. 3, fra Øyvind Halleraker på vegne av Høyre, Kristelig Folkeparti og Venstreforslagene nr. 4–7, fra Arne Sortevik på vegne av Fremskrittspartiet', 'Det voteres over forslagene nr. 4–7, fra Fremskrittspartiet.']"
ParlaMint-NO_2006-07_070320-2.ud46e442,KES,nob,"['Det voteres over forslag nr. 3, fra Høyre, Kristelig Folkeparti og Venstre. Forslaget lyder:']"
ParlaMint-NO_2006-07_070320-2.ud46e457,KES,nob,"['Det voteres over forslag nr. 2, fra Fremskrittspartiet og Høyre. Forslaget lyder:']"
ParlaMint-NO_2006-07_070320-2.ud46e472,KES,nob,"['Det voteres over forslag nr. 1, fra Fremskrittspartiet, Høyre og Venstre. Forslaget lyder:']"
ParlaMint-NO_2006-07_070320-2.ud46e501,KES,nob,"['Under debatten er det satt fram fire forslag. Det er', 'forslag nr. 1, fra Øyvind Halleraker på vegne av Høyre, Kristelig Folkeparti og Venstreforslagene nr. 2–4, fra Bård Hoksrud på vegne av Fremskrittspartiet', 'Det voteres over forslagene nr. 2–4, fra Fremskrittspartiet.']"
ParlaMint-NO_2006-07_070320-2.ud46e540,KES,nob,"['Det voteres over forslag nr. 1, fra Høyre, Kristelig Folkeparti og Venstre. Presidenten forstår det slik at Fremskrittspartiet subsidiært vil stemme for forslaget. – Det nikkes. Forslaget lyder:']"
ParlaMint-NO_2006-07_070320-2.ud46e670,KES,nob,"['Dermed er dagens kart ferdigbehandlet.', 'Forlanger noen ordet i henhold til forretningsordenens § 37 a før møtet heves? – Møtet er hevet.']"
ParlaMint-NO_2016-17_170329.ud9e28,KES,nob,"['Følgende innkalte vararepresentanter tar nå sete:', 'For Aust-Agder fylke: Lene Langemyr', 'For Rogaland fylke: Unn Therese Omdal', 'For Sør-Trøndelag fylke: Gunn Elin Flakne', 'Fra Høyres stortingsgruppe foreligger søknad om at den innvilgede innkalling av vararepresentant for Sogn og Fjordane fylke, Bjørn Erik Hollevik i tiden 3.–6.\xa0april, under representanten Bjørn Lødemels permisjon, utvides til å gjelde i tiden fra og med 30.\xa0mars til og med 6.\xa0april.', 'Denne søknad foreslås behandlet straks og innvilget. – Det anses vedtatt.', 'Det foreligger tre permisjonssøknader:', 'fra Senterpartiets stortingsgruppe om sykepermisjon for representanten Jenny Klinge fra og med 29.\xa0mars og inntil videre', 'fra representanten Geir Jørgen Bekkevold om permisjon i tiden fra og med 30.\xa0mars til og med 4.\xa0april for å delta som valgobservatør for OSSEs parlamentariske forsamling ved valget i Armenia', 'fra Arbeiderpartiets stortingsgruppe om permisjon for representanten Jorodd Asphjell i tiden fra og med 30.\xa0mars til og med 4.\xa0april for å delta i møter i Nordisk råd i Tallinn og Stockholm', 'Etter forslag fra presidenten ble enstemmig besluttet:', 'Søknadene behandles straks og innvilges.', 'Følgende vararepresentanter innkalles for å møte i permisjonstiden:', 'For Møre og Romsdal fylke: Geir Inge Lien', 'For Telemark fylke: Hanne Thürmer', 'For Sør-Trøndelag fylke: Ferhat Güven']"
ParlaMint-NO_2016-17_170329.ud9e105,KES,nob,"['Geir Inge Lien er til stede og vil ta sete.', 'Representanten Terje Breivik vil framsette et representantforslag.']"
ParlaMint-NO_2016-17_170329.ud9e143,KES,nob,"['Stortinget mottok mandag meddelelse fra Statsministerens kontor om at statsrådene Monica Mæland, Vidar Helgesen og Solveig Horne vil møte til muntlig spørretime.', 'De annonserte regjeringsmedlemmer er til stede, og vi er klar til å starte den muntlige spørretimen.', 'Vi starter da med første hovedspørsmål, fra representanten Dag Terje Andersen.']"
ParlaMint-NO_2016-17_170329.ud9e496,KES,nob,"['Det er klart jeg er bekymret. Jeg hadde ikke arbeidet så mye med en proposisjon til Stortinget og med å forsøke å finne løsninger i denne situasjonen om jeg ikke var bekymret. Jeg hadde ikke sagt at jeg tar innover meg den virkeligheten folk opplever i ulvesonen, hvis jeg ikke var bekymret og engasjert i denne saken. Men jeg er engasjert både i rovviltpolitikken, i det å forsøke å følge opp Stortingets vedtak og i rettsstaten for å sikre at vi som regjering holder oss innenfor lovens rammer.', 'Jeg må, selv om det ikke var spørsmålet, få lov til å påpeke at det er ingen problemer med at Bern-konvensjonen er strengere når det gjelder vilkåret for skadepotensial, men samtidig har åpninger på andre områder, for det lovforslaget vi har fremlagt, er nemlig et lovforslag som er uavhengig av kravet om skadepotensial, så der er det ingen motsetning.']"
ParlaMint-NO_2016-17_170329.ud9e859,KES,nob,"['Det blir en rekke endringer i den oppsatte spørsmålslisten, og presidenten viser i den sammenheng til den elektroniske spørsmålslisten i salappen.', 'De foreslåtte endringene i dagens spørretime foreslås godkjent. – Det anses vedtatt.', 'Endringene var som følger:', 'Spørsmål 6, fra representanten Øystein Langholm Hansen til kommunal- og moderniseringsministeren, vil bli besvart av helse- og omsorgsministeren på vegne av kommunal- og moderniseringsministeren, som er bortreist.', 'Spørsmål 7, fra representanten Jan Bøhler til kommunal- og moderniseringsministeren, vil bli besvart av innvandrings- og integreringsministeren som rette vedkommende.', 'Spørsmål 8, fra representanten Odd Omland til næringsministeren, vil bli besvart av finansministeren som rette vedkommende. Etter anmodning fra statsråden foreslås spørsmålet flyttet og besvart etter spørsmål 5, som skal besvares av samme statsråd.', 'Spørsmålene 13 og 14, fra henholdsvis representantene Christian Tynning Bjørnø og Marianne Aasen til kunnskapsministeren, vil bli besvart av arbeids- og sosialministeren på vegne av kunnskapsministeren, som er bortreist.', 'Spørsmål 17, fra representanten Anette Trettebergstuen til kulturministeren, vil bli tatt opp av representanten Arild Grande. Etter anmodning fra statsråden foreslås spørsmålet flyttet og besvart før spørsmål 6.']"
ParlaMint-NO_2014-15_150312.ud61e649,KES,nob,"['De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2014-15_150312.ud61e730,KES,nob,"['Etter ønske fra næringskomiteen vil presidenten foreslå at taletiden blir begrenset til 5 minutter til hver partigruppe og 5 minutter til medlem av regjeringen.', 'Videre vil presidenten foreslå at det blir gitt anledning til seks replikker med svar etter innlegg fra medlem av regjeringen innenfor den fordelte taletid, og at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.', 'Representanten Knut Storberget får ordet på vegne av sakens ordfører, Else-May Botten.']"
ParlaMint-NO_2014-15_150312.ud61e760,KES,nno,['Representanten Knut Storberget har tatt opp det forslaget han refererte til.']
ParlaMint-NO_2014-15_150312.ud61e845,KES,nob,['Representanten Geir Pollestad har tatt opp de forslagene han refererte til.']
ParlaMint-NO_2016-17_170221.ud13e1336,KES,nob,"['Etter ønske fra energi- og miljøkomiteen vil presidenten foreslå at taletiden blir begrenset til 5 minutter til hver partigruppe og 5 minutter til medlemmer av regjeringen.', 'Videre vil presidenten foreslå at det – innenfor den fordelte taletid – blir gitt anledning til inntil seks replikker med svar etter innlegg fra medlemmer av regjeringen, og at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.']"
ParlaMint-NO_2016-17_170221.ud13e1368,KES,nob,['Representanten Heikki Eidsvoll Holmås har tatt opp det forslaget han refererte til.']
ParlaMint-NO_2016-17_170221.ud13e1440,KES,nno,['Representanten Steinar Reiten har tatt opp det forslaget han refererte til.']
ParlaMint-NO_2008-09_090528.ud75e565,KES,nob,"['Trygve Slagsvold Vedum har hatt ordet to ganger tidligere og får ordet til en kort merknad, begrenset til 1 minutt.']"
ParlaMint-NO_2008-09_090528.ud75e575,KES,nob,"['Olav Gunnar Ballo har hatt ordet to ganger tidligere og får ordet til en kort merknad, begrenset til 1 minutt.']"
ParlaMint-NO_2008-09_090528.ud75e629,KES,nob,"['Etter ønske fra helse- og omsorgskomiteen vil presidenten foreslå at taletiden blir begrenset til 5 minutter til hver gruppe og 5 minutter til statsråden.', 'Videre vil presidenten foreslå at det blir gitt anledning til fem replikker med svar etter innlegg fra medlemmer av Regjeringen innenfor den fordelte taletid.', 'Videre foreslår presidenten at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.']"
ParlaMint-NO_2008-09_090528.ud75e710,KES,nob,['Representanten Vigdis Giltun har tatt opp de forslag hun refererte til.']
ParlaMint-NO_2008-09_090528.ud75e843,KES,nob,"['Flere har ikke bedt om ordet til replikk.', 'De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2008-09_090528.ud75e935,KES,nob,"['Presidenten ber om at man holder taletiden.', 'Presidenten er også usikker på om «idioter» er et parlamentarisk uttrykk.']"
ParlaMint-NO_2008-09_090528.ud75e953,KES,nob,"['Vigdis Giltun har hatt ordet to ganger tidligere og får ordet til en kort merknad, på inntil 1 minutt.']"
ParlaMint-NO_2008-09_090528.ud75e994,KES,nob,"['Olav Gunnar Ballo har hatt ordet to ganger og får ordet til en kort merknad, begrenset til 1 minutt.']"
ParlaMint-NO_2008-09_090528.ud75e1012,KES,nob,"['Laila Dåvøy har hatt ordet to ganger og får ordet til en kort merknad, begrenset til 1 minutt.']"
ParlaMint-NO_2008-09_090528.ud75e1033,KES,nob,"['Inge Lønning har hatt ordet to ganger og får ordet til en kort merknad, begrenset til 1 minutt.']"
ParlaMint-NO_2015-16_151116.ud77e868,KES,nob,"['Representanten Audun Lysbakken har hatt ordet to ganger tidligere og får ordet til en kort merknad, begrenset til 1 minutt.']"
ParlaMint-NO_2015-16_151116.ud77e876,KES,nob,"['Representanten Jonas Gahr Støre har også hatt ordet to ganger tidligere og får ordet til en kort merknad, begrenset til 1 minutt.']"
ParlaMint-NO_2015-16_151116.ud77e889,KES,nob,"['Da er vi klare til å gå til votering.', 'Saken gjelder Prop. 16 L Endringer i utlendingsloven ', 'Under debatten er det satt fram i alt to forslag. Det er', 'forslag nr. 1, fra Helga Pedersen på vegne av Arbeiderpartiet forslag nr. 2, fra Knut Arild Hareide på vegne av Kristelig Folkeparti', 'Forslagene er omdelt på representantenes plasser i salen og ligger også i Salappen.', 'Det voteres først over forslag nr. 2, fra Kristelig Folkeparti. Forslaget lyder:', '«III Loven oppheves fra og med 1. januar 2018.»', 'Arbeiderpartiet, Senterpartiet, Venstre, Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet at de støtter forslaget.']"
ParlaMint-NO_2015-16_151116.ud77e1015,KES,nob,"['Det voteres først over I § 32 første ledd bokstav d.', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet at de vil stemme imot.']"
ParlaMint-NO_2015-16_151116.ud77e1030,KES,nob,"['Det voteres så over I § 76 annet ledd og tredje punktum.', 'Venstre, Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet at de vil stemme imot.']"
ParlaMint-NO_2015-16_151116.ud77e1054,KES,nob,['Det voteres over lovens overskrift og loven i sin helhet.']
ParlaMint-NO_2015-16_151116.ud77e1065,KES,nob,"['Lovvedtaket vil bli ført opp til andre gangs behandling i et senere møte i Stortinget – det blir i møtet torsdag den 19. november.', 'Det voteres så over forslag nr. 1, fra Arbeiderpartiet. Forslaget lyder:', '«Stortinget ber regjeringen på grunn av den korte tidsfristen og mangelen på høring komme tilbake til Stortinget med en evaluering av lovendringene i løpet av to år. Denne evalueringen må gi rom for en høring.»']"
ParlaMint-NO_2015-16_151116.ud77e1079,KES,nob,"['Dermed er dagens kart ferdigbehandlet.', 'Forlanger noen ordet før møtet heves? – Møtet er hevet.']"
ParlaMint-NO_2000-01_010329.ud117e711,KES,nob,"['Rolf Reikvam har tatt opp det forslaget han refererte til.', 'Det blir replikkordskifte.']"
ParlaMint-NO_2000-01_010329.ud117e983,KES,nob,"['De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2014-15_150603.ud121e1081,KES,nob,"['Dette spørsmålet, fra Ruth Grung til helse- og omsorgsministeren, vil bli tatt opp av representanten Karianne O. Tung.']"
ParlaMint-NO_2014-15_150603.ud121e1479,KES,nob,"['Dette spørsmålet, fra representanten Hans Fredrik Grøvan til kunnskapsministeren, vil bli besvart av kulturminister Thorhild Widvey som rette vedkommende.']"
ParlaMint-NO_2016-17_170425.ud36e2015,KES,nob,"['Etter ønske fra energi- og miljøkomiteen vil presidenten foreslå at taletiden blir begrenset til 5 minutter til hver partigruppe og 5 minutter til medlemmer av regjeringen.', 'Videre vil presidenten foreslå at det – innenfor den fordelte taletid – blir gitt anledning til seks replikker med svar etter innlegg fra medlemmer av regjeringen, og at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.']"
ParlaMint-NO_2016-17_170425.ud36e2082,KES,nno,['Representanten Rigmor Andersen Eide har tatt opp det forslaget hun refererte til.']
ParlaMint-NO_2016-17_170425.ud36e2203,KES,nob,"['Replikkordskiftet er omme.', 'Flere har ikke bedt om ordet til sak nr. 3.']"
ParlaMint-NO_2016-17_170425.ud36e2221,KES,nob,"['Etter ønske fra energi- og miljøkomiteen vil presidenten foreslå at taletiden blir begrenset til 5\xa0minutter til hver partigruppe og 5\xa0minutter til medlemmer av regjeringen.', 'Videre vil presidenten foreslå at det – innenfor den fordelte taletid – blir gitt anledning til replikkordskifte på inntil seks replikker med svar etter innlegg fra medlemmer av regjeringen, og at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.']"
ParlaMint-NO_2016-17_170425.ud36e2307,KES,nno,['Representanten Rigmor Andersen Eide har tatt opp det forslaget hun refererte til.']
ParlaMint-NO_2016-17_170425.ud36e2356,KES,nob,['Representanten Ola Elvestuen har tatt opp det forslaget han refererte til.']
ParlaMint-NO_2016-17_170425.ud36e2389,KES,nob,"['Skal representanten Hansson ta opp forslag? Her er en skikkelig smørbrødliste av forslag, så de bør jo tas opp.']"
ParlaMint-NO_2016-17_170425.ud36e2395,KES,nob,['Jeg tar opp forslagene fra Miljøpartiet De Grønne og de forslagene vi står sammen med Sosialistisk Venstreparti om.']
ParlaMint-NO_2016-17_170425.ud36e2400,KES,nob,['Da har representanten tatt opp de forslagene han refererte til.']
ParlaMint-NO_2016-17_170425.ud36e2452,KES,nob,"['Replikkordskiftet er omme.', 'De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2016-17_170425.ud36e2492,KES,nob,"['Representanten Rasmus Hansson har da tatt opp forslag nr. 15, som skal erstatte forslag nr. 8.']"
ParlaMint-NO_2016-17_170425.ud36e2507,KES,nob,"['Representanten Rasmus Hansson har hatt ordet to ganger tidligere og får ordet til en kort merknad, begrenset til 1 minutt.']"
ParlaMint-NO_2016-17_170425.ud36e2531,KES,nob,"['Etter ønske fra utenriks- og forsvarskomiteen vil presidenten foreslå at debatten blir begrenset til 1 time og 35 minutter, og at taletiden blir fordelt slik:', 'Arbeiderpartiet 30 minutter, Høyre 25 minutter, Fremskrittspartiet 15 minutter, Kristelig Folkeparti 5 minutter, Senterpartiet 5 minutter, Venstre 5 minutter, Sosialistisk Venstreparti 5 minutter og Miljøpartiet De Grønne 5 minutter.', 'Videre vil presidenten foreslå at det – innenfor den fordelte taletid – blir gitt anledning til replikkordskifte på inntil seks replikker med svar etter innlegg fra medlemmer av regjeringen.', 'Videre foreslås det at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.']"
ParlaMint-NO_2016-17_170425.ud36e4206,KES,nob,"['Ja, vi har lagt inn en merknad som representanten Pollestad refererer her nå, og det vil være full anledning til å slutte seg til den merknaden. Jeg må si at jeg har vært forundret over at det ikke har vært et mål for f.eks. representanten Pollestad å slutte seg til den merknaden. Den merknaden lever, og den merknaden skal det være fullt mulig å slutte seg til for representanten Pollestad.']"
ParlaMint-NO_2016-17_170425.ud36e4211,KES,nob,"['Replikkordskiftet er over.', 'Klokken er 22, og den reglementsmessige tiden for Stortingets møte er nå omme. Presidenten foreslår at møtet fortsetter til dagens kart er ferdigbehandlet. – Det anses vedtatt.']"
ParlaMint-NO_2016-17_170425.ud36e4241,KES,nob,"['Da har representanten Torgeir Knag Fylkesnes tatt opp de forslagene han refererte til.', 'Det blir replikkordskifte.']"
ParlaMint-NO_2016-17_170425.ud36e4314,KES,nob,"['Representanten Rasmus Hansson har tatt opp de forslagene han refererte til.', 'Det blir replikkordskifte.']"
ParlaMint-NO_2016-17_170425.ud36e4339,KES,nob,['Presidenten er ikke helt sikker på at «å ta rotta på» er et parlamentarisk uttrykk.']
ParlaMint-NO_2016-17_170425.ud36e4495,KES,nob,['Det gir ikke tiden rom for. Nå er replikkordskiftet over.']
ParlaMint-NO_2016-17_170425.ud36e4638,KES,nob,"['De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2016-17_170425.ud36e4909,KES,nob,"['Representanten Per Olaf Lundteigen har hatt ordet to ganger tidligere og får ordet til en kort merknad, begrenset til 1 minutt.']"
ParlaMint-NO_2016-17_170425.ud36e5002,KES,nob,"['Representanten Bente Stein Mathisen har tatt opp det forslaget hun refererte.', 'Flere har ikke bedt om ordet til sak nr. 10.']"
ParlaMint-NO_2016-17_170425.ud36e5032,KES,nob,"['Da er Stortinget klar til å gå til votering.', 'Sak nr. 1 har vi allerede votert over.']"
ParlaMint-NO_2016-17_170425.ud36e5042,KES,nob,"['Under debatten er det satt fram ett forslag. Det er fra presidentskapsmedlemmene Marit Nybakk og Svein Roald Hansen. Forslaget lyder:', '«Lov om avgradering av dokumenter i forbindelse med Stortingets behandling av Dokument 1, Tillegg nr. 1 ', ' Riksrevisjonens rapport om revisjon av politiets og Forsvarets objektsikring skal lyde:', '§ 1', 'I forbindelse med Stortingets behandling av Dokument 1, Tillegg nr. 1 ', ' Riksrevisjonens rapport om revisjon av politiets og Forsvarets objektsikring avgraderes følgende dokumenter:', 'a) Riksrevisjonens sammendrag av Dokument 1, Tillegg nr. 1 ', ' Riksrevisjonens rapport om revisjon av politiets og Forsvarets objektsikring vedtatt i Riksrevisjonens møte 12. januar 2017.', 'b) Forsvarsdepartementets brev til Riksrevisjonen 6. januar 2017.', '§ 2', 'Loven trer i kraft straks.»', 'Det voteres alternativt mellom dette forslaget fra presidentskapets medlemmer Marit Nybakk og Svein Roald Hansen og presidentskapets innstilling.', 'Presidentskapet hadde innstilt til Stortinget å gjøre slikt']"
ParlaMint-NO_2016-17_170425.ud36e5074,KES,nob,"['Høyre, Fremskrittspartiet og Kristelig Folkeparti har varslet at de vil stemme for innstillingen.', 'Arbeiderpartiet, Senterpartiet, Venstre, Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet at de vil stemme for forslaget.']"
ParlaMint-NO_2016-17_170425.ud36e5092,KES,nob,"['Under debatten er det satt fram ett forslag. Det er fra Rigmor Andersen Eide på vegne av Kristelig Folkeparti, Venstre, Sosialistisk Venstreparti og Miljøpartiet De Grønne. Forslaget lyder:', '«Stortinget ber regjeringen fremme forslag om varig vern mot petroleumsaktivitet i havområdene utenfor Lofoten, Vesterålen og Senja, inkludert hele Nordland VI, Nordland VII og Troms II.»']"
